,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
87,US1ILCK0359,"CHICAGO 5.5 NNW, IL US",41.95025,-87.681513,182.3
88,US1ILCK0358,"BURR RIDGE 1.0 ENE, IL US",41.758549,-87.903976,207.9
89,USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96017,-87.93164,204.8
90,US1INLK0078,"SCHERERVILLE 1.4 E, IN US",41.4852981567383,-87.4214630126953,200.3
91,US1INLK0111,"HOBART 1.1 S, IN US",41.51636,-87.26671,
92,US1INLK0117,"GARY 6.2 ENE, IN US",41.6147944,-87.2263721,188.7
93,US1ILWL0092,"NAPERVILLE 4.0 SSW, IL US",41.706241,-88.173396,203.0
94,US1INLK0115,"GARY 5.9 ENE, IN US",41.62168,-87.23483,186.2
95,US1ILCK0074,"OAK PARK 1.3 NNE, IL US",41.906214,-87.78188,192.9
96,US1ILWL0131,"HOMER GLEN 0.7 NNE, IL US",41.6084251403809,-87.9327011108398,230.7
97,US1INLK0070,"SCHERERVILLE 2.1 ESE, IN US",41.473787,-87.413925,207.9
98,US1ILCK0192,"PARK RIDGE 0.7 WNW, IL US",42.01676,-87.855668,192.6
99,US1ILWL0097,"NEW LENOX 3.3 E, IL US",41.5193405151367,-87.9193115234375,207.0
100,US1ILDP0178,"VILLA PARK 0.8 ESE, IL US",41.880333,-87.964417,206.0
101,US1ILCK0232,"ROGERS PARK 0.6 ESE, IL US",42.0043,-87.6697,180.1
102,US1INLK0110,"HIGHLAND 0.7 SW, IN US",41.540737,-87.466083,188.1
103,US1ILDP0177,"WINFIELD 0.8 ENE, IL US",41.8749,-88.1387,233.8
104,US1ILWL0136,"CRETE 3.3 ENE FRANKTUARY FARM, IL US",41.466319,-87.554383,207.0
105,US1ILDP0176,"WINFIELD 0.6 SSW, IL US",41.863891,-88.160108,227.4
106,US1ILDP0174,"BOLINGBROOK 2.6 NE, IL US",41.730712,-88.048976,229.2
107,US1ILCK0075,"ELK GROVE VILLAGE 2.2 WSW, IL US",41.995258,-88.052741,221.9
108,US1ILCK0346,"PALATINE 1.2 NW, IL US",42.126196,-88.0578,233.8
109,US1ILDP0184,"WHEATON 0.8 WNW, IL US",41.86197,-88.12017,228.9
110,US1ILCK0345,"FRANKLIN PARK 0.5 SSE, IL US",41.9294778,-87.8739955,194.5
111,US1ILCK0069,"PARK FOREST 0.8 NNE, IL US",41.4928,-87.681489,220.1
112,US1ILWL0016,"HOMER GLEN 0.8 ENE, IL US",41.627371,-87.928125,225.9
113,US1ILWL0137,"NAPERVILLE 2.8 SSW, IL US",41.72431,-88.17107,208.5
114,US1ILWL0138,"CRETE 2.7 W, IL US",41.4457,-87.66578,228.9
115,US1ILCK0229,"FLOSSMOOR 1.2 ESE, IL US",41.5318909,-87.664093,202.1
116,US1ILDP0180,"BOLINGBROOK 2.7 NE, IL US",41.731049,-88.045575,227.4
117,US1INLK0124,"SCHERERVILLE 2.4 E, IN US",41.485444,-87.401352,199.3
