"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-25",,"45","25"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-26",,"40","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-27",,"50","22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-28",,"53","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-29",,"44","38"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-30",,"45","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-31",,"45","38"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-01",,"55","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-02",,"40","35"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-03",,"53","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-04",,"53","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-05",,"45","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-06",,"38","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-07",,"45","22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-08",,"61","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-09",,"56","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-10",,"48","34"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-11",,"40","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-12",,"45","25"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-13",,"52","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-14",,"56","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-15",,"58","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-16",,"62","34"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-17",,"46","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-18",,"56","28"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-19",,"57","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-20",,"60","51"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-21",,"66","43"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-22",,"73","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-23",,"80","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-24",,"87","66"
