"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-03-31",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-01",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-02",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-03",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-04",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-05",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-08",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-09",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-10",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-11",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-13",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-14",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-15",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-16",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-17",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-21",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-22",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-23",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-24",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-25",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-26",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-28",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-04-30",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-01",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-06",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-07",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-08",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-09",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-10",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-11",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-12",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-13",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-14",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-15",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-16",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-17",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-19",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-20",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-21",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-22",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-23",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-24",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-27",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-28",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-29",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-30",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-05-31",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-01",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-02",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-03",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-04",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-05",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-07",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-09",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-10",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-11",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-12",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-13",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-14",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-18",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-19",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-20",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-21",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-22",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-23",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-24",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-25",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-26",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-27",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-28",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-06-30",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-01",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-02",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-03",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-04",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-06",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-07",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-08",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-09",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-10",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-11",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-12",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-13",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-14",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-15",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-16",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-17",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-18",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-19",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-20",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-21",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-22",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-23",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-24",,,
"US1ORCB0040","CLATSKANIE 8.8 SW, OR US","2018-07-25",,,
