"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-11",,"86","72"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-12",,"86","73"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-13",,"89","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-14",,"91","73"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-15",,"89","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-16",,"91","77"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-17",,"90","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-18",,"91","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-19",,"90","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-20",,"92","77"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-21",,"95","77"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-22",,"92","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-23",,"90","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-24",,"90","78"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-25",,"86","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-26",,"88","67"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-27",,"90","80"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-28",,"94","77"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-29",,"91","81"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-06-30",,"93","81"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-01",,"91","77"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-02",,"86","77"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-03",,"90","73"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-04",,"87","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-05",,"91","71"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-06",,"91","72"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-07",,"91","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-08",,"89","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-09",,"91","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-10",,"92","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-11",,"92","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-12",,"93","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-13",,"95","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-14",,"92","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-15",,"91","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-16",,"91","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-17",,"89","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-18",,"90","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-19",,"91","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-20",,"92","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-21",,"92","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-22",,"92","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-23",,"93","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-24",,"94","79"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-25",,"94","79"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-26",,"94","81"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-27",,"94","79"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-28",,"93","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-29",,"86","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-30",,"92","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-07-31",,"93","79"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-01",,"86","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-02",,"83","73"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-03",,"81","73"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-04",,"82","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-05",,"89","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-06",,"92","71"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-07",,"92","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-08",,"92","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-09",,"91","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-10",,"90","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-11",,"90","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-12",,"90","77"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-13",,"90","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-14",,"87","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-15",,"89","79"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-16",,"92","80"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-17",,"92","77"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-18",,"92","79"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-19",,"93","80"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-20",,"92","81"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-21",,"92","78"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-22",,"90","77"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-23",,"91","72"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-24",,"91","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-25",,"91","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-26",,"92","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-27",,"88","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-28",,"83","76"
